schema_version,legacy_top_level_metric_mode,frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,real_mean_distance_mm,sim_mean_distance_mm,paired_valid_zones,mae_mm,bias_mm,no_return_iou,raw_real_valid_zones,raw_sim_valid_zones,raw_real_mean_distance_mm,raw_sim_mean_distance_mm,raw_paired_valid_zones,raw_mae_mm,raw_bias_mm,raw_no_return_iou,projected_real_valid_zones,projected_sim_valid_zones,projected_real_mean_distance_mm,projected_sim_mean_distance_mm,projected_paired_valid_zones,projected_mae_mm,projected_bias_mm,projected_no_return_iou
shape-replay-v2,raw,114,2026-06-28T15:41:55.475,11.201995849609375,0.36709854748344434,0.2770415856808511,60,64,279.45,289.203125,60,23.85,12.95,0.0,60,64,279.45,289.203125,60,23.85,12.95,0.0,60,64,279.45,269.75,60,11.716666666666667,-7.65,0.0
shape-replay-v2,raw,115,2026-06-28T15:41:55.574,11.300994873046875,0.36708549390831985,0.2770285321057266,59,64,280.10169491525426,288.796875,59,23.16949152542373,13.508474576271187,0.0,59,64,280.10169491525426,288.796875,59,23.16949152542373,13.508474576271187,0.0,59,64,280.10169491525426,269.390625,59,10.508474576271187,-7.288135593220339,0.0
shape-replay-v2,raw,116,2026-06-28T15:41:55.667,11.393997192382812,0.3670612139857545,0.2770042521831612,59,64,280.6101694915254,288.96875,59,24.1864406779661,12.59322033898305,0.0,59,64,280.6101694915254,288.96875,59,24.1864406779661,12.59322033898305,0.0,59,64,280.6101694915254,269.546875,59,12.05084745762712,-8.288135593220339,0.0
shape-replay-v2,raw,117,2026-06-28T15:41:55.767,11.493995666503906,0.36710733444228255,0.2770503726396893,59,63,279.79661016949154,290.06349206349205,58,23.724137931034484,14.689655172413794,0.0,59,63,279.79661016949154,290.06349206349205,58,23.724137931034484,14.689655172413794,0.0,59,63,279.79661016949154,270.44444444444446,58,9.879310344827585,-6.396551724137931,0.0
shape-replay-v2,raw,118,2026-06-28T15:41:55.865,11.591995239257812,0.3671038086467584,0.27704684684416514,60,63,280.51666666666665,289.7936507936508,60,23.3,11.933333333333334,0.25,60,63,280.51666666666665,289.7936507936508,60,23.3,11.933333333333334,0.25,60,63,280.51666666666665,270.2063492063492,60,11.416666666666666,-8.516666666666667,0.25
shape-replay-v2,raw,119,2026-06-28T15:41:55.961,11.687995910644531,0.3670957597257337,0.27703879792314046,61,63,280.0163934426229,289.3174603174603,61,22.934426229508198,11.032786885245901,0.3333333333333333,61,63,280.0163934426229,289.3174603174603,61,22.934426229508198,11.032786885245901,0.3333333333333333,61,63,280.0163934426229,269.74603174603175,61,11.098360655737705,-9.098360655737705,0.3333333333333333
shape-replay-v2,raw,120,2026-06-28T15:41:56.063,11.790000915527344,0.3671164698561665,0.27705950805357327,58,64,279.98275862068965,289.265625,58,23.413793103448278,14.620689655172415,0.0,58,64,279.98275862068965,289.265625,58,23.413793103448278,14.620689655172415,0.0,58,64,279.98275862068965,269.890625,58,9.448275862068966,-6.517241379310345,0.0
shape-replay-v2,raw,121,2026-06-28T15:41:56.160,11.887001037597656,0.36705860492087206,0.2770016431182788,59,63,279.8135593220339,290.1746031746032,59,24.10169491525424,14.0,0.2,59,63,279.8135593220339,290.1746031746032,59,24.10169491525424,14.0,0.2,59,63,279.8135593220339,270.46031746031747,59,11.338983050847459,-6.864406779661017,0.2
shape-replay-v2,raw,122,2026-06-28T15:41:56.258,11.985000610351562,0.36708397234396406,0.2770270105413708,59,64,280.135593220339,288.75,59,22.559322033898304,12.661016949152541,0.0,59,64,280.135593220339,288.75,59,22.559322033898304,12.661016949152541,0.0,59,64,280.135593220339,269.359375,59,10.067796610169491,-8.169491525423728,0.0
shape-replay-v2,raw,123,2026-06-28T15:41:56.359,12.08599853515625,0.36806722067101594,0.2780102588684227,61,63,281.0983606557377,291.57142857142856,60,24.95,13.683333333333334,0.0,61,63,281.0983606557377,291.57142857142856,60,24.95,13.683333333333334,0.0,61,63,281.0983606557377,271.73015873015873,60,11.383333333333333,-7.016666666666667,0.0
