frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,real_mean_distance_mm,sim_mean_distance_mm,paired_valid_zones,mae_mm,bias_mm,no_return_iou
109,2026-06-28T15:43:14.565,10.714004516601562,0.307111013456122,0.21697940153054418,63,64,220.14285714285714,232.046875,63,13.047619047619047,12.031746031746032,0.0
110,2026-06-28T15:43:14.663,10.812004089355469,0.30710988543174156,0.21697827350616372,63,64,219.82539682539684,231.453125,63,13.19047619047619,11.666666666666666,0.0
111,2026-06-28T15:43:14.761,10.910003662109375,0.30709943241531107,0.21696782048973323,63,64,220.06349206349208,231.140625,63,12.142857142857142,11.253968253968255,0.0
112,2026-06-28T15:43:14.859,11.008003234863281,0.30713457301724795,0.2170029610916701,63,64,219.984126984127,232.3125,63,13.206349206349206,12.476190476190476,0.0
113,2026-06-28T15:43:14.958,11.107002258300781,0.30707584337540333,0.2169442314498255,63,64,220.11111111111111,231.796875,63,12.904761904761905,11.857142857142858,0.0
114,2026-06-28T15:43:15.056,11.205001831054688,0.30711050445551136,0.21697889252993352,63,64,220.0793650793651,231.75,63,12.555555555555555,11.698412698412698,0.0
115,2026-06-28T15:43:15.155,11.304000854492188,0.3070857851341015,0.21695417320852367,63,64,219.57142857142858,232.390625,63,13.952380952380953,12.968253968253968,0.0
116,2026-06-28T15:43:15.253,11.402000427246094,0.3071384358463407,0.21700682392076287,63,64,219.85714285714286,231.796875,63,12.873015873015873,12.142857142857142,0.0
117,2026-06-28T15:43:15.395,11.543998718261719,0.3070945742024782,0.21696296227690037,63,64,220.06349206349208,233.171875,63,14.206349206349206,13.126984126984127,0.0
118,2026-06-28T15:43:15.479,11.627998352050781,0.30712692004098496,0.21699530811540713,63,64,220.20634920634922,231.6875,63,13.063492063492063,11.634920634920634,0.0
119,2026-06-28T15:43:15.581,11.730003356933594,0.30711867354061323,0.2169870616150354,63,64,219.76190476190476,231.09375,63,12.666666666666666,11.396825396825397,0.0
120,2026-06-28T15:43:15.673,11.821998596191406,0.30709683555838346,0.21696522363280563,63,64,219.73015873015873,231.8125,63,13.11111111111111,12.222222222222221,0.0
121,2026-06-28T15:43:15.764,11.913002014160156,0.3071178247316934,0.21698621280611557,63,64,220.3015873015873,232.234375,63,12.682539682539682,12.047619047619047,0.0
122,2026-06-28T15:43:15.856,12.0050048828125,0.3070876943802933,0.21695608245471548,63,64,220.12698412698413,232.140625,63,13.19047619047619,12.047619047619047,0.0
123,2026-06-28T15:43:15.957,12.106002807617188,0.30442794494498754,0.2142963330194097,63,64,217.44444444444446,228.28125,63,12.063492063492063,10.952380952380953,0.0
124,2026-06-28T15:43:16.054,12.2030029296875,0.2973616318279718,0.20723001990239398,63,64,211.15873015873015,221.140625,63,11.285714285714286,10.11111111111111,0.0
125,2026-06-28T15:43:16.144,12.292999267578125,0.2871764148907011,0.19704480296512328,63,64,199.71428571428572,211.65625,63,12.571428571428571,11.936507936507937,0.0
126,2026-06-28T15:43:16.237,12.386001586914062,0.2799282455925003,0.18979663366692245,62,64,191.69354838709677,202.9375,62,11.838709677419354,11.225806451612904,0.0
127,2026-06-28T15:43:16.364,12.51300048828125,0.277155520076232,0.18702390815065417,62,64,188.7258064516129,199.375,62,11.758064516129032,10.693548387096774,0.0
128,2026-06-28T15:43:16.441,12.590003967285156,0.2771588491047713,0.18702723717919345,62,64,189.06451612903226,200.65625,62,12.209677419354838,11.435483870967742,0.0
129,2026-06-28T15:43:16.536,12.685005187988281,0.27719826106757683,0.187066649141999,62,64,189.0483870967742,200.75,62,11.758064516129032,11.725806451612904,0.0
130,2026-06-28T15:43:16.630,12.778999328613281,0.2772083146349171,0.18707670270933924,62,64,188.98387096774192,200.375,62,11.806451612903226,11.387096774193548,0.0
