frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,paired_valid_zones,mae_mm,bias_mm,no_return_iou
78,2026-06-28T15:41:51.929,7.655998229980469,0.3071111041034039,0.21705414230081066,46,64,46,25.152173913043477,0.32608695652173914,0.0
79,2026-06-28T15:41:52.026,7.752998352050781,0.3070707680908654,0.21701380628827216,47,64,47,23.382978723404257,1.851063829787234,0.0
80,2026-06-28T15:41:52.154,7.8809967041015625,0.30707647064773247,0.2170195088451392,47,64,47,25.148936170212767,1.4042553191489362,0.0
81,2026-06-28T15:41:52.250,7.976997375488281,0.30705204901180727,0.216995087209214,48,63,48,25.625,0.08333333333333333,0.0625
82,2026-06-28T15:41:52.346,8.072998046875,0.3091146977603967,0.21905773595780342,46,63,45,24.0,3.911111111111111,0.0
83,2026-06-28T15:41:52.443,8.169998168945312,0.31558176590005105,0.2255248040974578,48,63,47,24.04255319148936,6.638297872340425,0.0
84,2026-06-28T15:41:52.537,8.263999938964844,0.3262340390166798,0.23617707721408654,53,64,53,22.433962264150942,7.490566037735849,0.0
85,2026-06-28T15:41:52.634,8.361000061035156,0.333762876620141,0.24370591481754772,54,63,53,18.9811320754717,12.716981132075471,0.0
86,2026-06-28T15:41:52.730,8.457000732421875,0.337030787041097,0.24697382523850375,53,63,53,19.641509433962263,12.547169811320755,0.09090909090909091
87,2026-06-28T15:41:52.821,8.547996520996094,0.337017776195688,0.24696081439309475,54,64,54,19.925925925925927,11.518518518518519,0.0
88,2026-06-28T15:41:52.938,8.665000915527344,0.3370143380787796,0.24695737627618636,54,62,54,20.59259259259259,12.703703703703704,0.2
89,2026-06-28T15:41:53.022,8.749000549316406,0.3369944956733396,0.24693753387074635,53,63,53,20.81132075471698,12.39622641509434,0.09090909090909091
90,2026-06-28T15:41:53.125,8.851997375488281,0.3370357405595312,0.24697877875693797,53,63,52,20.653846153846153,13.576923076923077,0.0
91,2026-06-28T15:41:53.221,8.947998046875,0.3370735950617071,0.24701663325911383,54,64,54,19.77777777777778,12.185185185185185,0.0
92,2026-06-28T15:41:53.315,9.041999816894531,0.337087383652022,0.24703042184942875,55,64,55,20.527272727272727,11.072727272727272,0.0
93,2026-06-28T15:41:53.412,9.138999938964844,0.33709425874113486,0.2470372969385416,54,64,54,20.5,11.833333333333334,0.0
94,2026-06-28T15:41:53.509,9.236000061035156,0.3371026959268532,0.24704573412425995,53,64,53,20.528301886792452,12.415094339622641,0.0
95,2026-06-28T15:41:53.609,9.33599853515625,0.3370712858580177,0.24701432405542445,54,63,54,18.925925925925927,10.703703703703704,0.1
96,2026-06-28T15:41:53.701,9.427993774414062,0.337087383652022,0.24703042184942875,55,64,55,20.945454545454545,11.418181818181818,0.0
97,2026-06-28T15:41:53.803,9.529998779296875,0.337097299782457,0.24704033797986374,53,62,53,20.22641509433962,12.528301886792454,0.18181818181818182
98,2026-06-28T15:41:53.910,9.637001037597656,0.33709390821004404,0.24703694640745077,54,63,54,18.25925925925926,11.037037037037036,0.1
99,2026-06-28T15:41:53.994,9.721000671386719,0.3370808549715794,0.24702389316898615,53,61,52,19.384615384615383,12.653846153846153,0.16666666666666666
100,2026-06-28T15:41:54.092,9.819000244140625,0.3371160552011776,0.24705909339858434,54,64,54,18.555555555555557,11.37037037037037,0.0
101,2026-06-28T15:41:54.191,9.917999267578125,0.33711605436908676,0.2470590925664935,54,63,54,19.555555555555557,12.11111111111111,0.1
102,2026-06-28T15:41:54.290,10.016998291015625,0.3370966983733773,0.24703973657078404,53,62,53,20.849056603773583,13.150943396226415,0.18181818181818182
103,2026-06-28T15:41:54.388,10.114997863769531,0.34031848653028646,0.2502615247276932,54,63,54,20.444444444444443,12.185185185185185,0.1
104,2026-06-28T15:41:54.486,10.212997436523438,0.34779443004706107,0.2577374682444678,58,63,58,17.43103448275862,2.189655172413793,0.16666666666666666
105,2026-06-28T15:41:54.619,10.346000671386719,0.36172636849089457,0.2716694066883013,57,63,56,25.125,15.839285714285714,0.0
106,2026-06-28T15:41:54.714,10.440994262695312,0.3665254031454297,0.27646844134283644,59,63,59,23.016949152542374,15.05084745762712,0.2
107,2026-06-28T15:41:54.815,10.541999816894531,0.3669748911679669,0.2769179293653736,59,63,58,22.70689655172414,14.120689655172415,0.0
108,2026-06-28T15:41:54.914,10.640998840332031,0.3670334125473722,0.27697645074477895,60,64,60,23.35,13.083333333333334,0.0
109,2026-06-28T15:41:55.003,10.729995727539062,0.36700408724513456,0.2769471254425413,59,64,59,23.305084745762713,13.779661016949152,0.0
110,2026-06-28T15:41:55.104,10.83099365234375,0.3670127144772997,0.27695575267470646,59,64,59,24.864406779661017,13.94915254237288,0.0
111,2026-06-28T15:41:55.199,10.925994873046875,0.3670701794941022,0.27701321769150894,61,63,60,23.9,13.633333333333333,0.0
112,2026-06-28T15:41:55.290,11.016998291015625,0.36706473673311957,0.2770077749305263,58,63,58,22.224137931034484,13.844827586206897,0.16666666666666666
113,2026-06-28T15:41:55.379,11.105995178222656,0.3671095969032634,0.27705263510067013,58,63,58,23.310344827586206,12.862068965517242,0.16666666666666666
114,2026-06-28T15:41:55.475,11.201995849609375,0.36709854748344434,0.2770415856808511,60,64,60,24.95,13.15,0.0
115,2026-06-28T15:41:55.574,11.300994873046875,0.36708549390831985,0.2770285321057266,59,63,59,23.389830508474578,13.728813559322035,0.2
116,2026-06-28T15:41:55.667,11.393997192382812,0.3670612139857545,0.2770042521831612,59,64,59,22.45762711864407,12.152542372881356,0.0
117,2026-06-28T15:41:55.767,11.493995666503906,0.36710733444228255,0.2770503726396893,59,63,58,24.46551724137931,15.293103448275861,0.0
118,2026-06-28T15:41:55.865,11.591995239257812,0.3671038086467584,0.27704684684416514,60,63,59,22.440677966101696,12.677966101694915,0.0
